"","End.Date","State","YearQuarter","White","Latino","Black","Asian","Indigenous","More than one race","Pacific Islander","End.Date2"
"209",2021-03-31,"Michigan","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",10779,536,3528,210,61,NA,NA,"Mar 31, 2021"
"210",2021-06-30,"Michigan","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",13183,701,4270,238,79,NA,NA,"Jun 30, 2021"
"211",2021-09-30,"Michigan","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",14311,743,4473,241,88,NA,10,"Sep 30, 2021"
"212",2021-12-31,"Michigan","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",20009,1015,5297,268,132,NA,10,"Dec 31, 2021"
"213",2020-03-31,"Minnesota","2020, Quarter 1",19,0,NA,NA,0,NA,0,"Mar 31, 2020"
"214",2020-06-30,"Minnesota","2020, Quarter 2",1201,61,137,64,22,NA,0,"Jun 30, 2020"
"215",2020-09-30,"Minnesota","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",1663,90,206,102,29,NA,0,"Sep 30, 2020"
"216",2020-12-31,"Minnesota","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",5035,171,306,219,76,NA,NA,"Dec 31, 2020"
"217",2021-03-31,"Minnesota","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",6165,210,354,285,97,NA,NA,"Mar 31, 2021"
"218",2021-06-30,"Minnesota","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",6674,229,411,313,109,NA,NA,"Jun 30, 2021"
"219",2021-09-30,"Minnesota","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",7172,262,450,340,126,NA,NA,"Sep 30, 2021"
"220",2021-12-31,"Minnesota","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",9420,334,543,418,191,NA,NA,"Dec 31, 2021"
"221",2020-03-31,"Mississippi","2020, Quarter 1",13,0,21,0,0,NA,0,"Mar 31, 2020"
"222",2020-06-30,"Mississippi","2020, Quarter 2",453,15,582,NA,67,NA,0,"Jun 30, 2020"
"223",2020-09-30,"Mississippi","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",1446,36,1485,12,79,NA,NA,"Sep 30, 2020"
"224",2020-12-31,"Mississippi","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",2735,46,2246,25,93,NA,NA,"Dec 31, 2020"
"225",2021-03-31,"Mississippi","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",4069,64,3045,33,117,NA,NA,"Mar 31, 2021"
"226",2021-06-30,"Mississippi","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",4275,71,3203,37,118,NA,NA,"Jun 30, 2021"
"227",2021-09-30,"Mississippi","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",5340,107,3774,43,127,NA,NA,"Sep 30, 2021"
"228",2021-12-31,"Mississippi","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",5692,114,3942,46,131,NA,NA,"Dec 31, 2021"
"229",2020-03-31,"Missouri","2020, Quarter 1",13,NA,17,0,0,NA,NA,"Mar 31, 2020"
"230",2020-06-30,"Missouri","2020, Quarter 2",650,28,390,17,NA,NA,NA,"Jun 30, 2020"
"231",2020-09-30,"Missouri","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",1813,71,593,29,NA,NA,NA,"Sep 30, 2020"
"232",2020-12-31,"Missouri","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",6708,171,1026,77,30,NA,10,"Dec 31, 2020"
"233",2021-03-31,"Missouri","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",8976,236,1339,99,42,NA,13,"Mar 31, 2021"
"234",2021-06-30,"Missouri","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",9523,250,1459,105,46,NA,15,"Jun 30, 2021"
"235",2021-09-30,"Missouri","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",12206,346,1782,123,63,NA,30,"Sep 30, 2021"
"236",2021-12-31,"Missouri","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",14126,412,2015,137,74,NA,34,"Dec 31, 2021"
"237",2020-03-31,"Montana","2020, Quarter 1",NA,0,0,0,0,NA,0,"Mar 31, 2020"
"238",2020-06-30,"Montana","2020, Quarter 2",NA,NA,0,0,NA,NA,0,"Jun 30, 2020"
"239",2020-09-30,"Montana","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",125,NA,NA,NA,65,NA,0,"Sep 30, 2020"
"240",2020-12-31,"Montana","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",958,32,NA,NA,255,NA,NA,"Dec 31, 2020"
"241",2021-03-31,"Montana","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",1223,40,10,NA,288,NA,NA,"Mar 31, 2021"
"242",2021-06-30,"Montana","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",1311,45,11,NA,291,NA,NA,"Jun 30, 2021"
"243",2021-09-30,"Montana","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",1736,62,14,12,324,NA,NA,"Sep 30, 2021"
"244",2021-12-31,"Montana","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",2481,86,17,20,388,NA,NA,"Dec 31, 2021"
"245",2020-03-31,"Nebraska","2020, Quarter 1",NA,NA,0,0,0,NA,0,"Mar 31, 2020"
"246",2020-06-30,"Nebraska","2020, Quarter 2",177,69,19,12,NA,NA,NA,"Jun 30, 2020"
"247",2020-09-30,"Nebraska","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",394,97,36,12,NA,NA,0,"Sep 30, 2020"
"248",2020-12-31,"Nebraska","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",1940,185,82,18,16,NA,0,"Dec 31, 2020"
"249",2021-03-31,"Nebraska","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",2425,208,103,24,20,NA,0,"Mar 31, 2021"
"250",2021-06-30,"Nebraska","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",2552,223,114,25,21,NA,0,"Jun 30, 2021"
"251",2021-09-30,"Nebraska","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",2875,244,133,27,26,NA,NA,"Sep 30, 2021"
"252",2021-12-31,"Nebraska","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",3623,281,162,31,37,NA,NA,"Dec 31, 2021"
"253",2020-03-31,"Nevada","2020, Quarter 1",16,NA,NA,NA,0,NA,NA,"Mar 31, 2020"
"254",2020-06-30,"Nevada","2020, Quarter 2",234,109,74,72,NA,NA,NA,"Jun 30, 2020"
"255",2020-09-30,"Nevada","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",675,469,194,199,13,NA,10,"Sep 30, 2020"
"256",2020-12-31,"Nevada","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",1739,948,351,376,47,NA,27,"Dec 31, 2020"
"257",2021-03-31,"Nevada","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",2797,1388,518,599,61,NA,57,"Mar 31, 2021"
"258",2021-06-30,"Nevada","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",3002,1462,576,640,67,NA,66,"Jun 30, 2021"
"259",2021-09-30,"Nevada","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",4036,1783,801,770,79,NA,112,"Sep 30, 2021"
"260",2021-12-31,"Nevada","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",4933,2035,917,857,106,NA,131,"Dec 31, 2021"
"261",2020-03-31,"New Hampshire","2020, Quarter 1",NA,NA,0,NA,NA,NA,NA,"Mar 31, 2020"
"262",2020-06-30,"New Hampshire","2020, Quarter 2",349,NA,NA,NA,NA,NA,NA,"Jun 30, 2020"
"263",2020-09-30,"New Hampshire","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",402,11,NA,NA,0,NA,0,"Sep 30, 2020"
"264",2020-12-31,"New Hampshire","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",770,22,10,10,0,NA,0,"Dec 31, 2020"
"265",2021-03-31,"New Hampshire","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",1202,30,12,14,0,NA,0,"Mar 31, 2021"
"266",2021-06-30,"New Hampshire","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",1284,33,13,15,0,NA,0,"Jun 30, 2021"
"267",2021-09-30,"New Hampshire","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",1389,35,15,15,0,NA,0,"Sep 30, 2021"
"268",2021-12-31,"New Hampshire","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",1909,43,17,18,NA,NA,0,"Dec 31, 2021"
"269",2020-03-31,"New Jersey","2020, Quarter 1",413,107,116,60,0,NA,0,"Mar 31, 2020"
"270",2020-06-30,"New Jersey","2020, Quarter 2",7529,2909,2543,849,10,NA,NA,"Jun 30, 2020"
"271",2020-09-30,"New Jersey","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",7901,3039,2646,883,10,NA,NA,"Sep 30, 2020"
"272",2020-12-31,"New Jersey","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",10053,3810,3108,1085,14,NA,NA,"Dec 31, 2020"
"273",2021-03-31,"New Jersey","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",13097,4726,3796,1381,16,NA,NA,"Mar 31, 2021"
"274",2021-06-30,"New Jersey","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",13936,5108,4168,1481,18,NA,NA,"Jun 30, 2021"
"275",2021-09-30,"New Jersey","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",14611,5244,4344,1516,20,NA,NA,"Sep 30, 2021"
"276",2021-12-31,"New Jersey","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",15723,5454,4623,1588,22,NA,NA,"Dec 31, 2021"
"277",2020-03-31,"New Mexico","2020, Quarter 1",NA,NA,0,NA,NA,NA,NA,"Mar 31, 2020"
"278",2020-06-30,"New Mexico","2020, Quarter 2",125,70,NA,NA,357,NA,0,"Jun 30, 2020"
"279",2020-09-30,"New Mexico","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",199,172,NA,NA,489,NA,0,"Sep 30, 2020"
"280",2020-12-31,"New Mexico","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",789,1096,36,16,924,NA,NA,"Dec 31, 2020"
"281",2021-03-31,"New Mexico","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",1102,1561,49,21,1271,NA,NA,"Mar 31, 2021"
"282",2021-06-30,"New Mexico","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",1169,1669,51,22,1306,NA,NA,"Jun 30, 2021"
"283",2021-09-30,"New Mexico","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",1403,1956,67,27,1383,NA,NA,"Sep 30, 2021"
"284",2021-12-31,"New Mexico","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",1967,2688,83,38,1567,NA,NA,"Dec 31, 2021"
"285",2020-03-31,"New York","2020, Quarter 1",1000,736,843,227,0,NA,0,"Mar 31, 2020"
"286",2020-06-30,"New York","2020, Quarter 2",12502,8112,7749,2451,20,NA,0,"Jun 30, 2020"
"287",2020-09-30,"New York","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",13014,8281,7904,2502,21,NA,0,"Sep 30, 2020"
"288",2020-12-31,"New York","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",17246,8921,8467,2754,39,NA,0,"Dec 31, 2020"
"289",2021-03-31,"New York","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",25222,11027,10312,3829,58,NA,0,"Mar 31, 2021"
"290",2021-06-30,"New York","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",26843,11700,11072,4119,61,NA,0,"Jun 30, 2021"
"291",2021-09-30,"New York","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",28234,11979,11481,4198,65,NA,0,"Sep 30, 2021"
"292",2021-12-31,"New York","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",31947,12392,12097,4341,90,NA,0,"Dec 31, 2021"
"293",2020-03-31,"North Carolina","2020, Quarter 1",16,NA,NA,NA,0,NA,0,"Mar 31, 2020"
"294",2020-06-30,"North Carolina","2020, Quarter 2",787,146,490,25,18,NA,NA,"Jun 30, 2020"
"295",2020-09-30,"North Carolina","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",2302,328,1241,64,51,NA,NA,"Sep 30, 2020"
"296",2020-12-31,"North Carolina","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",5691,502,2338,109,109,NA,NA,"Dec 31, 2020"
"297",2021-03-31,"North Carolina","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",9936,708,3789,175,170,NA,NA,"Mar 31, 2021"
"298",2021-06-30,"North Carolina","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",10759,765,4147,189,192,NA,10,"Jun 30, 2021"
"299",2021-09-30,"North Carolina","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",13961,957,5064,225,283,NA,15,"Sep 30, 2021"
"300",2021-12-31,"North Carolina","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",16152,1092,5563,249,329,NA,16,"Dec 31, 2021"
"301",2020-03-31,"North Dakota","2020, Quarter 1",NA,0,0,0,0,NA,0,"Mar 31, 2020"
"302",2020-06-30,"North Dakota","2020, Quarter 2",80,NA,NA,NA,13,NA,NA,"Jun 30, 2020"
"303",2020-09-30,"North Dakota","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",236,NA,NA,NA,37,NA,0,"Sep 30, 2020"
"304",2020-12-31,"North Dakota","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",1331,28,10,NA,125,NA,0,"Dec 31, 2020"
"305",2021-03-31,"North Dakota","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",1463,30,10,NA,143,NA,0,"Mar 31, 2021"
"306",2021-06-30,"North Dakota","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",1535,33,12,NA,157,NA,0,"Jun 30, 2021"
"307",2021-09-30,"North Dakota","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",1648,38,13,NA,167,NA,0,"Sep 30, 2021"
"308",2021-12-31,"North Dakota","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",2052,50,15,NA,210,NA,0,"Dec 31, 2021"
"309",2020-03-31,"Ohio","2020, Quarter 1",82,NA,14,0,0,NA,0,"Mar 31, 2020"
"310",2020-06-30,"Ohio","2020, Quarter 2",2201,54,580,36,NA,NA,0,"Jun 30, 2020"
"311",2020-09-30,"Ohio","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",3871,103,936,58,NA,NA,0,"Sep 30, 2020"
"312",2020-12-31,"Ohio","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",12738,255,1931,141,10,NA,NA,"Dec 31, 2020"
"313",2021-03-31,"Ohio","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",18374,377,2713,193,13,NA,NA,"Mar 31, 2021"
"314",2021-06-30,"Ohio","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",19565,418,3000,207,15,NA,NA,"Jun 30, 2021"
"315",2021-09-30,"Ohio","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",22413,479,3382,228,18,NA,NA,"Sep 30, 2021"
"316",2021-12-31,"Ohio","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",30076,642,4312,287,27,NA,NA,"Dec 31, 2021"
"317",2020-03-31,"Oklahoma","2020, Quarter 1",31,NA,NA,NA,NA,NA,0,"Mar 31, 2020"
"318",2020-06-30,"Oklahoma","2020, Quarter 2",311,25,33,NA,39,NA,NA,"Jun 30, 2020"
"319",2020-09-30,"Oklahoma","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",932,100,93,23,159,NA,15,"Sep 30, 2020"
"320",2020-12-31,"Oklahoma","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",3827,332,351,64,533,NA,19,"Dec 31, 2020"
"321",2021-03-31,"Oklahoma","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",6041,520,567,102,852,NA,23,"Mar 31, 2021"
"322",2021-06-30,"Oklahoma","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",6322,543,604,110,896,NA,25,"Jun 30, 2021"
"323",2021-09-30,"Oklahoma","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",8168,704,788,132,1168,NA,28,"Sep 30, 2021"
"324",2021-12-31,"Oklahoma","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",9420,813,894,152,1305,NA,32,"Dec 31, 2021"
"325",2020-03-31,"Oregon","2020, Quarter 1",25,0,NA,NA,NA,NA,0,"Mar 31, 2020"
"326",2020-06-30,"Oregon","2020, Quarter 2",193,32,NA,11,NA,NA,NA,"Jun 30, 2020"
"327",2020-09-30,"Oregon","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",423,87,12,21,15,NA,NA,"Sep 30, 2020"
"328",2020-12-31,"Oregon","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",1260,188,35,67,33,NA,15,"Dec 31, 2020"
"329",2021-03-31,"Oregon","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",1877,264,47,83,48,NA,19,"Mar 31, 2021"
"330",2021-06-30,"Oregon","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",2238,303,61,91,67,NA,22,"Jun 30, 2021"
"331",2021-09-30,"Oregon","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",3605,413,82,117,104,NA,29,"Sep 30, 2021"
"332",2021-12-31,"Oregon","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",4701,520,111,139,126,NA,40,"Dec 31, 2021"
"333",2020-03-31,"Pennsylvania","2020, Quarter 1",69,NA,24,NA,0,NA,0,"Mar 31, 2020"
"334",2020-06-30,"Pennsylvania","2020, Quarter 2",4947,420,1576,170,NA,NA,0,"Jun 30, 2020"
"335",2020-09-30,"Pennsylvania","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",6089,495,1759,188,NA,NA,0,"Sep 30, 2020"
"336",2020-12-31,"Pennsylvania","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",14645,795,2566,340,NA,NA,NA,"Dec 31, 2020"
"337",2021-03-31,"Pennsylvania","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",21285,1066,3212,497,NA,NA,NA,"Mar 31, 2021"
"338",2021-06-30,"Pennsylvania","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",23130,1193,3656,556,11,NA,NA,"Jun 30, 2021"
"339",2021-09-30,"Pennsylvania","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",24946,1277,3866,574,14,NA,NA,"Sep 30, 2021"
"340",2021-12-31,"Pennsylvania","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",32180,1497,4338,627,23,NA,NA,"Dec 31, 2021"
"341",2020-03-31,"Rhode Island","2020, Quarter 1",NA,NA,NA,0,0,NA,NA,"Mar 31, 2020"
"342",2020-06-30,"Rhode Island","2020, Quarter 2",814,77,56,17,NA,NA,NA,"Jun 30, 2020"
"343",2020-09-30,"Rhode Island","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",914,95,65,20,NA,NA,NA,"Sep 30, 2020"
"344",2020-12-31,"Rhode Island","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",1605,161,95,38,NA,NA,NA,"Dec 31, 2020"
"345",2021-03-31,"Rhode Island","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",2231,175,118,61,NA,NA,NA,"Mar 31, 2021"
"346",2021-06-30,"Rhode Island","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",2320,179,126,67,12,NA,NA,"Jun 30, 2021"
"347",2021-09-30,"Rhode Island","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",2418,179,133,68,13,NA,NA,"Sep 30, 2021"
"348",2021-12-31,"Rhode Island","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",2651,189,143,72,14,NA,NA,"Dec 31, 2021"
"349",2020-03-31,"South Carolina","2020, Quarter 1",16,0,18,0,0,NA,0,"Mar 31, 2020"
"350",2020-06-30,"South Carolina","2020, Quarter 2",408,27,408,NA,NA,NA,NA,"Jun 30, 2020"
"351",2020-09-30,"South Carolina","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",1945,109,1398,24,10,NA,NA,"Sep 30, 2020"
"352",2020-12-31,"South Carolina","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",3513,145,1973,45,16,NA,NA,"Dec 31, 2020"
"353",2021-03-31,"South Carolina","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",5970,217,3051,72,24,NA,NA,"Mar 31, 2021"
"354",2021-06-30,"South Carolina","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",6374,236,3265,77,29,NA,NA,"Jun 30, 2021"
"355",2021-09-30,"South Carolina","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",8572,351,4090,94,41,NA,NA,"Sep 30, 2021"
"356",2021-12-31,"South Carolina","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",9885,405,4471,102,49,NA,NA,"Dec 31, 2021"
"357",2020-03-31,"South Dakota","2020, Quarter 1",NA,0,0,0,0,NA,NA,"Mar 31, 2020"
"358",2020-06-30,"South Dakota","2020, Quarter 2",70,NA,NA,NA,22,NA,0,"Jun 30, 2020"
"359",2020-09-30,"South Dakota","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",243,NA,NA,10,56,NA,0,"Sep 30, 2020"
"360",2020-12-31,"South Dakota","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",1463,20,NA,18,201,NA,NA,"Dec 31, 2020"
"361",2021-03-31,"South Dakota","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",1716,25,NA,19,237,NA,NA,"Mar 31, 2021"
"362",2021-06-30,"South Dakota","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",1792,26,NA,20,245,NA,NA,"Jun 30, 2021"
"363",2021-09-30,"South Dakota","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",1927,32,10,21,263,NA,NA,"Sep 30, 2021"
"364",2021-12-31,"South Dakota","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",2285,43,16,27,312,NA,NA,"Dec 31, 2021"
"365",2020-03-31,"Tennessee","2020, Quarter 1",17,NA,15,NA,0,NA,0,"Mar 31, 2020"
"366",2020-06-30,"Tennessee","2020, Quarter 2",332,61,222,13,NA,NA,0,"Jun 30, 2020"
"367",2020-09-30,"Tennessee","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",1732,150,748,23,NA,NA,NA,"Sep 30, 2020"
"368",2020-12-31,"Tennessee","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",6059,241,1546,49,NA,NA,NA,"Dec 31, 2020"
"369",2021-03-31,"Tennessee","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",9614,335,2214,95,10,NA,NA,"Mar 31, 2021"
"370",2021-06-30,"Tennessee","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",10475,364,2454,104,12,NA,NA,"Jun 30, 2021"
"371",2021-09-30,"Tennessee","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",14349,498,3349,125,23,NA,12,"Sep 30, 2021"
"372",2021-12-31,"Tennessee","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",16921,596,3713,151,29,NA,15,"Dec 31, 2021"
"373",2020-03-31,"Texas","2020, Quarter 1",44,25,29,NA,0,NA,0,"Mar 31, 2020"
"374",2020-06-30,"Texas","2020, Quarter 2",1199,1441,664,107,NA,NA,NA,"Jun 30, 2020"
"375",2020-09-30,"Texas","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",5536,9913,2033,339,34,NA,10,"Sep 30, 2020"
"376",2020-12-31,"Texas","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",13038,16262,3472,629,64,NA,20,"Dec 31, 2020"
"377",2021-03-31,"Texas","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",22045,23917,5458,1109,93,NA,31,"Mar 31, 2021"
"378",2021-06-30,"Texas","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",23427,25398,5909,1198,98,NA,35,"Jun 30, 2021"
"379",2021-09-30,"Texas","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",32238,31578,8008,1398,133,NA,56,"Sep 30, 2021"
"380",2021-12-31,"Texas","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",36467,34757,8874,1518,166,NA,69,"Dec 31, 2021"
"381",2020-03-31,"Utah","2020, Quarter 1",NA,NA,0,NA,0,NA,0,"Mar 31, 2020"
"382",2020-06-30,"Utah","2020, Quarter 2",103,47,NA,NA,12,NA,11,"Jun 30, 2020"
"383",2020-09-30,"Utah","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",289,112,NA,22,37,NA,28,"Sep 30, 2020"
"384",2020-12-31,"Utah","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",1176,276,15,45,72,NA,55,"Dec 31, 2020"
"385",2021-03-31,"Utah","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",1731,367,19,68,93,NA,72,"Mar 31, 2021"
"386",2021-06-30,"Utah","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",1836,389,21,76,95,NA,79,"Jun 30, 2021"
"387",2021-09-30,"Utah","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",2196,446,24,81,105,NA,100,"Sep 30, 2021"
"388",2021-12-31,"Utah","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",2534,492,25,87,123,NA,106,"Dec 31, 2021"
"389",2020-03-31,"Vermont","2020, Quarter 1",16,0,0,0,0,NA,NA,"Mar 31, 2020"
"390",2020-06-30,"Vermont","2020, Quarter 2",59,0,0,NA,0,NA,NA,"Jun 30, 2020"
"391",2020-09-30,"Vermont","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",61,0,0,NA,0,NA,NA,"Sep 30, 2020"
"392",2020-12-31,"Vermont","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",143,0,NA,NA,NA,NA,NA,"Dec 31, 2020"
"393",2021-03-31,"Vermont","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",214,NA,NA,NA,NA,NA,NA,"Mar 31, 2021"
"394",2021-06-30,"Vermont","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",237,NA,NA,NA,NA,NA,NA,"Jun 30, 2021"
"395",2021-09-30,"Vermont","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",300,NA,NA,NA,NA,NA,NA,"Sep 30, 2021"
"396",2021-12-31,"Vermont","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",446,NA,NA,NA,NA,NA,0,"Dec 31, 2021"
"397",2020-03-31,"Virginia","2020, Quarter 1",38,NA,17,NA,0,NA,0,"Mar 31, 2020"
"398",2020-06-30,"Virginia","2020, Quarter 2",1172,245,508,122,NA,NA,0,"Jun 30, 2020"
"399",2020-09-30,"Virginia","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",1898,334,970,151,NA,NA,0,"Sep 30, 2020"
"400",2020-12-31,"Virginia","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",3868,487,1521,229,NA,NA,0,"Dec 31, 2020"
"401",2021-03-31,"Virginia","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",6541,688,2547,393,12,NA,NA,"Mar 31, 2021"
"402",2021-06-30,"Virginia","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",7123,746,2825,432,13,NA,NA,"Jun 30, 2021"
"403",2021-09-30,"Virginia","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",8445,816,3306,447,16,NA,NA,"Sep 30, 2021"
"404",2021-12-31,"Virginia","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",10345,892,3747,486,17,NA,NA,"Dec 31, 2021"
"405",2020-03-31,"Washington","2020, Quarter 1",230,14,NA,37,NA,NA,NA,"Mar 31, 2020"
"406",2020-06-30,"Washington","2020, Quarter 2",898,165,39,114,25,NA,11,"Jun 30, 2020"
