"","End.Date","State","Race.Ethnicity","Number of COVID-19 Deaths","Population","Crude Rate","age_adjusted_rate_direct","age_adjusted_rate_indirect","Direct_Available","Age-Adjusted Rate"
"291","04/30/2022","Washington","Indigenous","    307",94760,324,NA,444.28918551978,FALSE,444
"292","04/30/2022","Washington","Asian","    680",738981,92,NA,123.695885847624,FALSE,124
"293","04/30/2022","Washington","Pacific Islander","    227",55241,411,NA,858.862775776483,FALSE,859
"294","04/30/2022","Washington","Latino","  1,173",1027545,114,331.335259996933,324.950314186437,TRUE,331
"295","04/30/2022","West Virginia","White","  6,549",1638111,400,NA,338.784753231411,FALSE,339
"296","04/30/2022","West Virginia","Black","    210",63192,332,NA,411.773216055706,FALSE,412
"297","04/30/2022","West Virginia","Indigenous","     NA",3795,NA,NA,NA,FALSE,NA
"298","04/30/2022","West Virginia","Asian","     19",15058,126,NA,NA,FALSE,NA
"299","04/30/2022","West Virginia","Pacific Islander","     NA",417,NA,NA,NA,FALSE,NA
"300","04/30/2022","West Virginia","Latino","     33",31999,103,NA,NA,FALSE,NA
"301","04/30/2022","Wisconsin","White"," 12,545",4693630,267,223.808125626055,227.237398170053,TRUE,224
"302","04/30/2022","Wisconsin","Black","    982",373222,263,NA,471.887185413218,FALSE,472
"303","04/30/2022","Wisconsin","Indigenous","    167",51629,323,NA,NA,FALSE,NA
"304","04/30/2022","Wisconsin","Asian","    263",179656,146,NA,328.764482613724,FALSE,329
"305","04/30/2022","Wisconsin","Pacific Islander","     NA",2348,NA,NA,NA,FALSE,NA
"306","04/30/2022","Wisconsin","Latino","    663",425753,156,NA,424.837259851512,FALSE,425
"307","04/30/2022","Wyoming","White","  1,361",486788,280,259.433462304252,260.7796054134,TRUE,259
"308","04/30/2022","Wyoming","Black","     10",6028,166,NA,NA,FALSE,NA
"309","04/30/2022","Wyoming","Indigenous","     84",12189,689,NA,NA,FALSE,NA
"310","04/30/2022","Wyoming","Asian","     NA",5869,NA,NA,NA,FALSE,NA
"311","04/30/2022","Wyoming","Pacific Islander","     NA",408,NA,NA,NA,FALSE,NA
"312","04/30/2022","Wyoming","Latino","    140",60279,232,NA,NA,FALSE,NA
