"","End.Date","State","Race.Ethnicity","Number of COVID-19 Deaths","Population","Crude Rate","age_adjusted_rate_direct","age_adjusted_rate_indirect","Direct_Available","Age-Adjusted Rate"
"60","04/30/2022","District of Columbia","Latino","    230",81115,284,NA,616.708551447072,FALSE,617
"61","04/30/2022","Florida","White"," 40,863",11533353,354,225.500705142756,222.003867633946,TRUE,226
"62","04/30/2022","Florida","Black"," 11,918",3376297,353,459.236396487746,479.121553669914,TRUE,459
"63","04/30/2022","Florida","Indigenous","    120",54513,220,NA,NA,FALSE,NA
"64","04/30/2022","Florida","Asian","    998",627182,159,NA,179.332860982452,FALSE,179
"65","04/30/2022","Florida","Pacific Islander","     37",14270,259,NA,NA,FALSE,NA
"66","04/30/2022","Florida","Latino"," 15,767",5749737,274,335.340437040553,336.954786817063,TRUE,335
"67","04/30/2022","Georgia","White"," 19,661",5522339,356,323.569852219775,326.670529167935,TRUE,324
"68","04/30/2022","Georgia","Black"," 10,487",3406103,308,439.116468783616,456.023046658406,TRUE,439
"69","04/30/2022","Georgia","Indigenous","     28",24535,114,NA,NA,FALSE,NA
"70","04/30/2022","Georgia","Asian","    528",471825,112,NA,175.385505823762,FALSE,175
"71","04/30/2022","Georgia","Pacific Islander","     18",7564,238,NA,NA,FALSE,NA
"72","04/30/2022","Georgia","Latino","  1,595",1067941,149,374.882854481264,400.883521976431,TRUE,375
"73","04/30/2022","Hawaii","White","    157",301007,52,NA,NA,FALSE,NA
"74","04/30/2022","Hawaii","Black","     NA",27350,NA,NA,NA,FALSE,NA
"75","04/30/2022","Hawaii","Indigenous","     NA",2931,NA,NA,NA,FALSE,NA
"76","04/30/2022","Hawaii","Asian","    593",505044,117,NA,68.1003365925568,FALSE,68
"77","04/30/2022","Hawaii","Pacific Islander","    270",136357,198,NA,236.39394065766,FALSE,236
"78","04/30/2022","Hawaii","Latino","    104",153943,68,NA,NA,FALSE,NA
"79","04/30/2022","Idaho","White","  4,361",1487564,293,NA,283.873897224275,FALSE,284
"80","04/30/2022","Idaho","Black","     22",13793,160,NA,NA,FALSE,NA
"81","04/30/2022","Idaho","Indigenous","     94",19438,484,NA,NA,FALSE,NA
"82","04/30/2022","Idaho","Asian","     48",27095,177,NA,NA,FALSE,NA
"83","04/30/2022","Idaho","Pacific Islander","     14",3275,427,NA,NA,FALSE,NA
"84","04/30/2022","Idaho","Latino","    415",237272,175,NA,458.278432899616,FALSE,458
"85","04/30/2022","Illinois","White"," 22,134",7606163,291,236.223791632848,242.376430407896,TRUE,236
"86","04/30/2022","Illinois","Black","  6,072",1778786,341,408.673810483628,415.798151089426,TRUE,409
"87","04/30/2022","Illinois","Indigenous","     26",19525,133,NA,NA,FALSE,NA
"88","04/30/2022","Illinois","Asian","  1,055",742583,142,NA,179.797204955906,FALSE,180
"89","04/30/2022","Illinois","Pacific Islander","     NA",3701,NA,NA,NA,FALSE,NA
"90","04/30/2022","Illinois","Latino","  4,770",2219748,215,430.917051302158,440.921771622839,TRUE,431
"91","04/30/2022","Indiana","White"," 20,197",5269007,383,351.659865078665,355.465384298166,TRUE,352
"92","04/30/2022","Indiana","Black","  2,322",654820,355,525.329208636234,533.318921500149,TRUE,525
"93","04/30/2022","Indiana","Indigenous","     27",15602,173,NA,NA,FALSE,NA
"94","04/30/2022","Indiana","Asian","    154",175596,88,NA,NA,FALSE,NA
"95","04/30/2022","Indiana","Pacific Islander","     12",2712,442,NA,NA,FALSE,NA
"96","04/30/2022","Indiana","Latino","    914",502475,182,451.104048297519,464.902137019906,TRUE,451
"97","04/30/2022","Iowa","White","  8,772",2673794,328,271.833276842084,279.8591199105,TRUE,272
"98","04/30/2022","Iowa","Black","    295",126500,233,NA,577.953100808866,FALSE,578
"99","04/30/2022","Iowa","Indigenous","     62",9522,651,NA,NA,FALSE,NA
"100","04/30/2022","Iowa","Asian","    103",85644,120,NA,NA,FALSE,NA
"101","04/30/2022","Iowa","Pacific Islander","     15",4739,317,NA,NA,FALSE,NA
"102","04/30/2022","Iowa","Latino","    284",205956,138,NA,403.053841044858,FALSE,403
"103","04/30/2022","Kansas","White","  7,270",2187864,332,284.203416312183,288.639684433888,TRUE,284
"104","04/30/2022","Kansas","Black","    554",167190,331,NA,483.651373069771,FALSE,484
"105","04/30/2022","Kansas","Indigenous","     89",23024,387,NA,NA,FALSE,NA
"106","04/30/2022","Kansas","Asian","    119",90899,131,NA,NA,FALSE,NA
"107","04/30/2022","Kansas","Pacific Islander","     13",2960,439,NA,NA,FALSE,NA
"108","04/30/2022","Kansas","Latino","    714",362238,197,NA,509.682237765328,FALSE,510
"109","04/30/2022","Kentucky","White"," 15,041",3754448,401,377.700177955161,380.774250205607,TRUE,378
"110","04/30/2022","Kentucky","Black","  1,183",370691,319,442.43013586822,452.676183109511,TRUE,442
"111","04/30/2022","Kentucky","Indigenous","     10",9195,109,NA,NA,FALSE,NA
"112","04/30/2022","Kentucky","Asian","     74",73060,101,NA,NA,FALSE,NA
"113","04/30/2022","Kentucky","Pacific Islander","     10",3358,298,NA,NA,FALSE,NA
"114","04/30/2022","Kentucky","Latino","    231",179277,129,NA,343.389380052108,FALSE,343
"115","04/30/2022","Louisiana","White","  9,717",2700652,360,323.237842860826,325.969499902499,TRUE,323
"116","04/30/2022","Louisiana","Black","  5,475",1503780,364,473.25281579291,493.132887631268,TRUE,473
"117","04/30/2022","Louisiana","Indigenous","     85",30110,282,NA,NA,FALSE,NA
"118","04/30/2022","Louisiana","Asian","    115",84070,137,NA,NA,FALSE,NA
